timestamp,worker_id,heart_rate,body_temp,gas,ambient_temp,humidity,motion,risk
2026-04-01 11:36:05.213075,1,101,36.5,413,31.4,66,Normal,Critical
2026-04-01 11:36:05.214520,2,75,37.4,217,32.6,56,Normal,Warning
2026-04-01 11:36:05.214882,3,92,37.7,353,34.6,57,Normal,Critical
2026-04-01 11:36:07.244114,1,97,36.7,296,31.1,55,Normal,Critical
2026-04-01 11:36:07.244803,2,110,37.7,421,33.3,66,Normal,Critical
2026-04-01 11:36:07.245006,3,117,36.8,152,28.8,41,Normal,Critical
2026-04-01 11:36:09.260383,1,109,37.5,112,30.8,46,Normal,Critical
2026-04-01 11:36:09.261019,2,109,36.2,105,30.6,52,Fall Detected,Critical
2026-04-01 11:36:09.261624,3,96,37.2,314,26.1,76,Normal,Critical
2026-04-01 11:36:11.272922,1,73,36.9,157,29.2,43,Normal,Safe
2026-04-01 11:36:11.273485,2,62,37.4,245,31.8,41,Normal,Safe
2026-04-01 11:36:11.273659,3,96,37.8,214,29.7,44,Normal,Critical
2026-04-01 11:36:13.277617,1,127,37.4,141,28.9,51,Normal,Critical
2026-04-01 11:36:13.277931,2,63,37.5,328,27.3,80,Normal,Warning
2026-04-01 11:36:13.278104,3,118,36.0,106,32.7,70,Normal,Critical
2026-04-01 11:36:15.293456,1,101,36.9,477,27.6,50,Normal,Critical
2026-04-01 11:36:15.293769,2,122,36.7,177,33.4,64,Normal,Critical
2026-04-01 11:36:15.293956,3,81,37.9,284,32.4,60,Fall Detected,Critical
2026-04-01 11:36:17.302256,1,120,37.4,256,35.0,70,Normal,Critical
2026-04-01 11:36:17.303069,2,119,36.8,438,29.7,40,Normal,Critical
2026-04-01 11:36:17.303594,3,111,36.4,200,25.8,75,Normal,Critical
2026-04-01 11:36:19.314626,1,114,36.0,393,33.2,72,Normal,Critical
2026-04-01 11:36:19.315451,2,102,36.1,256,28.4,48,Fall Detected,Critical
2026-04-01 11:36:19.316296,3,63,37.1,292,25.4,66,Normal,Warning
2026-04-01 11:36:21.354515,1,117,36.7,330,32.9,48,Normal,Critical
2026-04-01 11:36:21.355728,2,83,37.4,355,31.6,53,Normal,Critical
2026-04-01 11:36:21.356601,3,64,37.8,247,28.5,61,Normal,Safe
2026-04-01 11:36:23.363744,1,81,36.9,334,30.8,54,Normal,Critical
2026-04-01 11:36:23.364628,2,115,36.4,171,29.7,41,Normal,Critical
2026-04-01 11:36:23.365381,3,71,37.2,392,30.1,71,Normal,Critical
2026-04-01 11:36:25.380583,1,108,36.2,457,30.8,56,Normal,Critical
2026-04-01 11:36:25.381271,2,84,36.5,263,29.6,70,Normal,Critical
2026-04-01 11:36:25.381869,3,102,36.1,173,28.0,65,Fall Detected,Critical
2026-04-01 11:36:27.391637,1,96,37.6,227,33.6,79,Normal,Critical
2026-04-01 11:36:27.392773,2,62,36.4,378,33.9,44,Normal,Warning
2026-04-01 11:36:27.393302,3,125,36.9,437,32.6,40,Normal,Critical
2026-04-01 11:36:29.404730,1,127,37.5,425,35.0,75,Normal,Critical
2026-04-01 11:36:29.406551,2,67,37.7,374,26.8,46,Normal,Critical
2026-04-01 11:36:29.407629,3,111,37.7,284,28.4,69,Fall Detected,Critical
2026-04-01 11:36:31.423024,1,73,37.1,266,31.6,62,Normal,Warning
2026-04-01 11:36:31.423456,2,82,37.0,166,31.4,53,Normal,Warning
2026-04-01 11:36:31.423903,3,111,36.4,426,29.0,70,Normal,Critical
2026-04-01 11:36:33.464247,1,125,36.3,127,31.2,71,Normal,Critical
2026-04-01 11:36:33.464690,2,82,37.5,306,26.9,79,Normal,Critical
2026-04-01 11:36:33.465026,3,69,36.5,433,27.7,46,Normal,Critical
2026-04-01 11:36:35.470122,1,60,37.8,137,27.6,80,Normal,Safe
2026-04-01 11:36:35.470458,2,63,36.4,242,27.3,59,Normal,Safe
2026-04-01 11:36:35.470902,3,108,36.2,152,32.6,69,Normal,Critical
2026-04-01 11:36:37.474380,1,71,36.9,210,31.2,66,Normal,Safe
2026-04-01 11:36:37.475023,2,113,36.9,190,28.0,40,Normal,Critical
2026-04-01 11:36:37.475504,3,105,37.1,333,31.1,40,Normal,Critical
2026-04-01 11:36:39.479988,1,85,36.4,306,26.1,65,Normal,Critical
2026-04-01 11:36:39.480969,2,78,37.6,181,32.9,40,Normal,Warning
2026-04-01 11:36:39.481603,3,122,37.9,374,27.5,65,Normal,Critical
2026-04-01 11:36:41.498016,1,105,37.5,137,26.8,77,Normal,Critical
2026-04-01 11:36:41.498347,2,125,37.4,251,26.5,44,Normal,Critical
2026-04-01 11:36:41.498686,3,104,36.5,357,29.7,60,Normal,Critical
2026-04-01 11:36:43.517099,1,92,37.3,374,26.1,71,Fall Detected,Critical
2026-04-01 11:36:43.517444,2,65,37.1,398,26.8,53,Normal,Critical
2026-04-01 11:36:43.517620,3,97,36.7,191,26.1,63,Normal,Critical
2026-04-01 11:36:45.523798,1,63,36.1,447,28.1,42,Normal,Critical
2026-04-01 11:36:45.585006,2,116,37.9,429,33.5,57,Normal,Critical
2026-04-01 11:36:45.585542,3,67,37.2,147,29.3,73,Normal,Safe
2026-04-01 11:36:47.599767,1,83,36.0,128,33.0,42,Normal,Safe
2026-04-01 11:36:47.600145,2,94,37.0,173,26.3,75,Normal,Warning
2026-04-01 11:36:47.600316,3,67,36.1,108,30.4,56,Normal,Safe
2026-04-01 11:36:49.601713,1,112,37.3,353,27.4,71,Normal,Critical
2026-04-01 11:36:49.602448,2,111,36.7,259,29.6,61,Normal,Critical
2026-04-01 11:36:49.603917,3,76,36.0,121,25.8,80,Normal,Safe
2026-04-01 11:36:51.616435,1,97,37.6,433,29.8,59,Normal,Critical
2026-04-01 11:36:51.616728,2,90,37.3,441,33.6,42,Normal,Critical
2026-04-01 11:36:51.616877,3,83,37.7,430,34.0,63,Normal,Critical
2026-04-01 11:36:54.227650,1,77,36.7,409,34.7,42,Normal,Critical
2026-04-01 11:36:54.228082,2,95,36.2,249,27.7,80,Fall Detected,Critical
2026-04-01 11:36:54.228359,3,129,37.9,480,28.3,49,Normal,Critical
2026-04-01 11:37:03.485333,1,75,37.7,107,30.5,49,Normal,Safe
2026-04-01 11:37:03.486486,2,61,36.4,137,30.4,66,Normal,Safe
2026-04-01 11:37:03.487103,3,102,37.9,264,33.6,53,Fall Detected,Critical
2026-04-01 11:37:05.503937,1,102,36.1,111,31.5,47,Normal,Warning
2026-04-01 11:37:05.504321,2,102,37.1,480,28.3,73,Normal,Critical
2026-04-01 11:37:05.504501,3,97,37.5,374,26.8,79,Normal,Critical
2026-04-01 11:37:07.519563,1,121,36.9,489,32.6,50,Normal,Critical
2026-04-01 11:37:07.520163,2,99,37.8,385,25.5,71,Normal,Critical
2026-04-01 11:37:07.520514,3,99,36.0,188,33.2,66,Normal,Critical
2026-04-01 11:37:09.532688,1,128,36.2,386,31.9,63,Normal,Critical
2026-04-01 11:37:09.533675,2,104,37.4,366,34.8,48,Normal,Critical
2026-04-01 11:37:09.533923,3,104,36.9,137,32.4,72,Normal,Critical
2026-04-01 11:37:11.536004,1,116,37.0,244,32.4,70,Normal,Critical
2026-04-01 11:37:11.536423,2,66,37.5,168,27.0,55,Fall Detected,Critical
2026-04-01 11:37:11.536891,3,122,36.3,332,26.2,71,Normal,Critical
2026-04-01 11:37:13.547686,1,127,37.4,403,28.0,56,Normal,Critical
2026-04-01 11:37:13.548050,2,118,37.2,395,26.5,41,Normal,Critical
2026-04-01 11:37:13.548792,3,119,36.7,297,31.1,68,Normal,Critical
2026-04-01 11:37:15.550317,1,104,36.6,104,28.2,63,Fall Detected,Critical
2026-04-01 11:37:15.550601,2,123,36.3,307,26.9,76,Normal,Critical
2026-04-01 11:37:15.550802,3,103,36.1,351,31.8,66,Normal,Critical
2026-04-01 11:37:17.560189,1,100,37.4,354,26.1,64,Normal,Critical
2026-04-01 11:37:17.560649,2,61,37.6,406,26.7,41,Normal,Warning
2026-04-01 11:37:17.560887,3,79,36.5,199,32.4,53,Normal,Warning
2026-04-01 11:37:19.564796,1,106,36.1,331,33.6,41,Normal,Critical
2026-04-01 11:37:19.565265,2,108,37.8,238,29.6,63,Normal,Critical
2026-04-01 11:37:19.565462,3,70,36.8,110,27.3,78,Normal,Safe
2026-04-01 11:37:21.572836,1,85,36.7,387,32.7,62,Normal,Critical
2026-04-01 11:37:21.573150,2,96,37.2,472,29.7,68,Normal,Critical
2026-04-01 11:37:21.573873,3,89,37.3,493,25.2,65,Normal,Critical
2026-04-01 11:37:23.586249,1,113,36.6,170,25.2,62,Normal,Critical
2026-04-01 11:37:23.586667,2,80,36.6,297,29.1,58,Normal,Critical
2026-04-01 11:37:23.588288,3,115,37.0,448,29.8,50,Normal,Critical
2026-04-01 11:39:20.650266,1,60,37.5,131,28.2,44,Fall Detected,Critical
2026-04-01 11:39:20.651681,2,73,36.9,376,25.5,49,Normal,Critical
